# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260701-20260731
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Unassigned,Unassigned,Referral,Referral,Organic Social,Organic Social,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,84130,750914,69511,105523,60802,68722,9112,14534,9359,10410,230396,958523,Grand total
Press Room | HHS.gov,/press-room/index.html,20260,644107,3289,20737,3415,11001,887,2364,87,155,27028,678614
Secretary Kennedy Announces Major Update to 63-Year-Old Orange Juice Regulation | HHS.gov,/press-room/secretary-kennedy-announces-major-update-orange-juice-regulation.html,13610,14011,9625,10319,389,393,659,648,789,858,25291,26871
"HHS, FDA Commend DEA Action Against Dangerous Enhanced 7-OH Products | HHS.gov",/press-room/hhs-fda-support-dea-7-oh-scheduling.html,7486,10677,12259,14957,919,913,459,581,980,1070,21661,28355
HHS Secretary Kennedy Signs COVID-19 Emergency Use Authorization Declaration Terminations | HHS.gov,/press-room/hhs-ends-covid-19-emergency-use-authorizations.html,9044,9932,8916,9782,218,212,681,920,3655,3881,22991,25389
"HHS & VA Announce Bold, Comprehensive Partnership to Advance Rapid-Acting Mental Health Treatments for Veterans | HHS.gov",/press-room/hhs-va-partner-advance-psychedelic-therapies-veterans.html,4970,5579,3645,4363,3173,3646,1276,1549,1230,1392,15225,17645
"HHS Defers More Than $1 Billion in Medicaid Payments to California, Minnesota Pending Review of High-Risk Claims in Crackdown on Fraud | HHS.gov",/press-room/hhs-defers-medicaid-payments-california-minnesota-fraud-review.html,4399,4653,5200,5937,1478,1490,761,962,310,339,11827,13528
Trump Administration Encourages States to End Mercury-Containing Dental Fillings | HHS.gov,/press-room/trump-administration-encourages-states-end-mercury-containing-dental-fillings.html,2973,3034,1224,1319,438,443,110,124,371,389,4929,5324
"Secretary Kennedy, Administrator Oz Launch ‘Make Hospital Food Healthier’ Pledge | HHS.gov",/press-room/secretary-kennedy-administrator-oz-launch-make-hospital-food-healthier-pledge.html,2863,2961,940,1156,393,398,374,481,85,91,5183,5821
"SAMHSA Announces More Than $281 Million in Funding Opportunities to Address Addiction, Overdose, and Mental Illness and Promote Recovery | HHS.gov",/press-room/samhsa-announces-281-million-funding-opportunities-address-addiction-overdose-mental-illness-promote-recovery.html,2461,2828,1347,1821,166,171,395,527,194,223,4640,5868
HHS Launches Unprecedented Department-Wide Effort to Restore American Leadership in Clinical Trials | HHS.gov,/press-room/hhs-launches-clinical-trials-reform-initiative.html,1871,2161,1153,1667,238,239,372,553,143,170,3735,4953
"HHS Expands Secure Access to Health Records Through the TEFCA® Network, Announces Milestone of One Billion Health Records Exchanged | HHS.gov",/press-room/onc-strengthens-tefca-one-billion-health-records-exchanged.html,1779,1837,325,421,100,97,198,264,122,151,2515,2852
"Secretary Kennedy Restores the Presidential Fitness Test, Launches Get Kids Active | HHS.gov",/press-room/secretary-kennedy-restores-presidential-fitness-test-launches-get-kids-active.html,1486,1523,774,872,70,70,81,86,21,22,2416,2605
"Secretary Kennedy Announces Over $700 Million in New Funding to Address Mental Illness, Addiction, Homelessness | HHS.gov",/press-room/secretary-kennedy-announces-new-funding-mental-illness-addiction-homelessness.html,1025,1344,995,1283,201,193,112,158,153,175,2533,3394
President Trump Signs Executive Order Advancing Regenerative Agriculture as Part of Make America Healthy Again Agenda | HHS.gov,/press-room/advancing-regenerative-agriculture-and-strengthening-american-farm-resilience.html,1206,1261,475,554,37,35,39,54,31,34,1799,1974
HHS Joins the Genesis Mission to End America’s Chronic Disease Epidemic | HHS.gov,/press-room/hhs-joins-genesis-mission-ai-chronic-disease-research.html,1462,1259,786,907,1308,1332,279,323,17,16,5121,5379
HHS Announces Requested Updates to Testosterone Therapy Product Labels | HHS.gov,/press-room/fda-requests-updates-testosterone-therapy-labeling.html,1142,1237,1217,1510,181,178,316,374,80,83,2886,3466
HHS Successfully Concludes Hantavirus Response Effort; Monitoring Ends with No Positive U.S. Case | HHS.gov,/press-room/hhs-concludes-hantavirus-response-hondius-cruise-ship.html,1114,1108,406,450,86,86,22,26,24,26,1627,1705
Tampa General Hospital Signs Trump Administration's Make Hospital Food Healthier Pledge | HHS.gov,/press-room/tampa-general-hospital-signs-trump-administrations-make-hospital-food-healthier-pledge.html,1046,971,594,722,168,150,79,98,195,208,2044,2162
HHS Unveils Sweeping Plan to Combat Lyme Disease and Advance Treatment | HHS.gov,/press-room/hhs-unveils-plan-to-combat-lyme-disease.html,695,803,846,1007,148,151,69,75,54,57,1750,2138
Secretary Kennedy Highlights Eat Real Food and Great American Recovery in Michigan | HHS.gov,/press-room/secretary-kennedy-highlights-eat-real-food-great-american-recovery-michigan.html,762,749,81,101,32,32,16,18,6,7,879,907
CDC Immunization Schedule Adopts Individual-Based Decision-Making for COVID-19 and Standalone Vaccination for Chickenpox in Toddlers | HHS.gov,/press-room/cdc-immunization-schedule-individual-decision-covid19-standalone-chickenpox-toddlers.html,668,632,52,48,113,113,15,17,0,0,755,810
"Fact Sheet: Trump Administration Resets U.S. Nutrition Policy, Puts Real Food Back at the Center of Health | HHS.gov",/press-room/fact-sheet-historic-reset-federal-nutrition-policy.html,514,573,1274,1365,355,351,165,238,11,11,2136,2566
Page Not Found | HHS.gov,/press-room/fact-sheet-cdc-childhood-immunization-recommendations.html,481,553,43,56,106,106,139,125,12,11,737,884
"SAMHSA Announces $40 Million in Funding Opportunities to Prevent Addiction, and Address Child Trauma, Suicide, Mental Illness | HHS.gov",/press-room/samhsa-announces-funding-opportunities-prevent-addiction-child-trauma-suicide-mental-illness.html,488,551,243,266,58,57,34,44,7,8,908,1061
HHS Launches MAHA Action Plan to Curb Psychiatric Overprescribing | HHS.gov,/press-room/hhs-launches-maha-action-plan-curb-psychiatric-overprescribing.html,468,543,606,729,146,148,189,212,20,27,1384,1712
WTAS: HHS Calls For Urgent Action To Reduce Harmful Screen Use And Protect Children Online | HHS.gov,/press-room/wtas-secretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,562,522,82,90,121,119,14,12,12,12,725,755
Fact Sheet : Ensuring Patient Safety Through Reform of Direct-to-Consumer Pharmaceutical Advertisement Policies | HHS.gov,/press-room/hhs-fda-drug-ad-transparency-fact-sheet.html,448,478,181,214,47,44,34,37,0,0,688,805
HHS Cracks Down on Years of Unchecked Audit Findings | HHS.gov,/press-room/asfr-aero-audit-enforcement-risk-oversight-initiative.html,432,450,191,292,67,63,66,111,12,12,750,935
"Kennedy, Rollins Unveil Historic Reset of U.S. Nutrition Policy, Put Real Food Back at Center of Health | HHS.gov",/press-room/historic-reset-federal-nutrition-policy.html,427,420,506,479,200,199,48,57,19,20,1128,1238
HHS Applauds FTC Action to Protect Children from Deceptive WPATH Guidelines | HHS.gov,/press-room/hhs-applauds-ftc-action-against-wpath.html,428,412,91,95,35,35,13,14,0,0,555,556
"Secretary Kennedy Announces Historic Development in Nutrition Accreditation Standards, New Medical School Pledges | HHS.gov",/press-room/secretary-kennedy-announces-historic-development-nutrition-accreditation-standards-new-medical-school-pledges.html,388,402,342,412,84,83,38,41,17,17,888,1063
HHS Announces Transformation to Make America Healthy Again | HHS.gov,/press-room/hhs-restructuring-doge.html,358,378,307,401,65,69,301,367,0,0,1015,1264
"ARPA-H launches groundbreaking, $144 million program to combat toxic microplastics in the human body | HHS.gov",/press-room/arpa-h-launches-groundbreaking-144-million-program-combat-toxic-microplastics-human-body.html,331,363,139,160,54,54,41,42,0,0,535,619
Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/secretary-kennedy-announces-100-million-investment-great-american-recovery.html,320,361,300,388,56,55,138,155,13,17,794,998
HHS Bans Illegal Aliens from Accessing its Taxpayer-Funded Programs | HHS.gov,/press-room/prwora-hhs-bans-illegal-aliens-accessing-taxpayer-funded-programs.html,161,346,132,172,53,53,44,76,10,9,368,656
"Federal Rule Takes Aim at Health Care Bureaucracy, Reducing Dispute Fees, and Boosting Transparency | HHS.gov",/press-room/federal-rule-takes-aim-health-care-bureaucracy-reducing-dispute-fees-boosting-transparency.html,342,334,181,225,43,43,11,17,0,0,560,632
HHS’ Office for Civil Rights Extends Web and Mobile Accessibility Compliance Deadline | HHS.gov,/press-room/hhs-extends-mobile-and-web-accessibility-deadline.html,277,312,369,424,89,88,69,93,0,0,763,969
HHS Welcomes 10 New States into CCBHC Medicaid Demonstration Program | HHS.gov,/press-room/hhs-welcomes-10-new-states-into-ccbhc-medicaid-demonstration-program.html,288,298,119,144,52,49,52,62,28,29,527,633
HHS Finds Systemic Disregard for Sanctity of Life in Organ Transplant System | HHS.gov,/press-room/hrsa-to-reform-organ-transplant-system.html,241,293,718,843,142,143,23,31,161,169,1215,1496
Trump Administration Launches Moms.Gov for New and Expecting Mothers | HHS.gov,/press-room/trump-administration-launches-moms-gov-for-new-and-expecting-mothers.html,294,279,342,360,142,139,15,18,0,0,719,796
HHS Restores Title VI’s Promise of Equal Protection for All | HHS.gov,/press-room/hhs-restores-title-vis-promise-equal-protection.html,282,278,246,247,455,455,58,60,76,75,1044,1115
WTAS: HHS Unveils Sweeping Plan to Combat Lyme Disease and Advance Treatment | HHS.gov,/press-room/wtas-hhs-unveils-plan-to-combat-lyme-disease.html,284,278,24,23,23,23,12,12,0,0,338,336
HHS & DEA Extend Telemedicine Flexibilities for Prescribing Controlled Medications Through 2026 | HHS.gov,/press-room/dea-telemedicine-extension-2026.html,266,276,410,438,114,114,28,28,6,7,824,940
HHS Secretary Kennedy Directs FDA to Explore Rulemaking to Eliminate Pathway for Companies to Self-Affirm Food Ingredients Are Safe | HHS.gov,/press-room/revising-gras-pathway.html,307,276,238,250,138,135,58,54,7,7,720,763
HHS’ Office for Civil Rights Settles Ransomware Investigation with Health Plan | HHS.gov,/press-room/ocr-settles-ransomware-investigation-health-plan.html,258,272,186,241,57,54,56,76,12,10,625,746
"HHS and HUD Commit to “Make Petersburg Healthy Again” by Expanding Access to Medical Care, Nutritious Foods, and Healthy Homes in the Historically Underserved City | HHS.gov",/press-room/hhs-hud-commit-make-petersburg-healthy.html,283,271,33,55,42,42,6,9,0,0,354,377
HHS Announces Federal Elder Justice Action Plan and the EJCC's “Never EVER” Campaign to Protect Older Americans | HHS.gov,/press-room/hhs-announces-federal-elder-justice-action-plan-and-ejcc-never-ever-campaign.html,276,266,158,187,66,66,47,48,18,19,550,610
"ARPA-H announces first research teams for $139 million initiative to transform behavioral health and bring new, more precise and effective treatments to Americans | HHS.gov",/press-room/arpa-h-announces-research-teams-initiative-transform-behavioral-health.html,253,261,166,170,53,54,5,10,0,0,456,495
FACT SHEET: FDA Initiates Removal of “Black Box” Warnings from Menopausal Hormone Replacement Therapy Products | HHS.gov,/press-room/fact-sheet-fda-initiates-removal-of-black-box-warnings-from-menopausal-hormone-replacement-therapy-products.html,223,261,590,663,149,147,151,170,40,42,1057,1298
SAMHSA Awards $255 Million to Administer 988 Lifeline | HHS.gov,/press-room/samhsa-awards-255-million-to-administer-988-lifeline.html,281,254,78,91,46,34,0,0,0,0,405,389
"HHS, USDA Announce Investments to Expand Protein Access, Strengthen Cold Chain Infrastructure | HHS.gov",/press-room/hhs-usda-announce-investments-expand-protein-access-strengthen-cold-chain-infrastructure.html,267,253,107,118,45,45,16,26,11,11,438,470
Page Not Found | HHS.gov,/press-room/cdc-acts-presidential-memorandum-update-childhood-immunization-schedule.html,241,252,93,124,84,93,76,85,168,211,645,778
Secretary Kennedy Announces HHS Action to Reduce Harmful Screen Use and Protect Children Online | HHS.gov,/press-room/secretary-kennedy-announces-hhs-action-reduce-harmful-screen-use-protect-children-online.html,230,244,178,210,39,38,20,19,0,0,479,556
"President Trump, Secretary Kennedy Announce Bold Actions to Tackle Autism Epidemic | HHS.gov",/press-room/hhs-trump-kennedy-autism-initiatives-leucovorin-tylenol-research-2025.html,231,240,786,804,199,197,54,59,8,9,1173,1334
"‘Autism Epidemic Runs Rampant,’ New Data Shows 1 in 31 Children Afflicted | HHS.gov",/press-room/autism-epidemic-runs-rampant-new-data-shows-grants.html,249,239,487,533,121,122,26,28,11,11,840,933
United States Completes WHO Withdrawal | HHS.gov,/press-room/united-states-completes-who-withdrawal.html,247,238,134,147,43,41,13,21,0,0,432,480
"HHS Aligns Health Technology Leadership to Deliver Data Liquidity, Affordability, and an AI-Enabled Health Care System for Americans | HHS.gov",/press-room/hhs-health-tech-leadership-deliver-data-liquidity-affordability-ai-enabled-health-care-system.html,240,237,55,62,38,37,30,34,0,0,361,380
