# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260601-20260630
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Organic Social,Organic Social,Referral,Referral,SMS,SMS,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,69114,907588,60703,99950,13150,21156,10208,17577,6011,8807,161955,1067320,Grand total
Press Room | HHS.gov,/press-room/index.html,20270,784941,3345,18322,79,6052,816,2598,26,33,24514,815197
HHS Secretary Kennedy Signs COVID-19 Emergency Use Authorization Declaration Terminations | HHS.gov,/press-room/hhs-ends-covid-19-emergency-use-authorizations.html,10560,10928,10821,11187,1262,1342,202,256,0,0,22741,23752
"Secretary Kennedy Announces Over $700 Million in New Funding to Address Mental Illness, Addiction, Homelessness | HHS.gov",/press-room/secretary-kennedy-announces-new-funding-mental-illness-addiction-homelessness.html,4886,6678,3836,5342,5128,5951,1036,1416,1765,2468,17226,22647
HHS Launches Unprecedented Department-Wide Effort to Restore American Leadership in Clinical Trials | HHS.gov,/press-room/hhs-launches-clinical-trials-reform-initiative.html,4995,6428,5316,6569,2204,2522,1327,1837,0,0,14118,17877
"Secretary Kennedy Announces Historic Development in Nutrition Accreditation Standards, New Medical School Pledges | HHS.gov",/press-room/secretary-kennedy-announces-historic-development-nutrition-accreditation-standards-new-medical-school-pledges.html,1972,2263,1680,2279,436,476,251,337,4544,6060,9774,12506
HHS Unveils Sweeping Plan to Combat Lyme Disease and Advance Treatment | HHS.gov,/press-room/hhs-unveils-plan-to-combat-lyme-disease.html,3227,3861,3462,4637,864,977,703,885,0,0,8345,10561
HHS Announces Requested Updates to Testosterone Therapy Product Labels | HHS.gov,/press-room/fda-requests-updates-testosterone-therapy-labeling.html,2476,2939,4520,5163,205,216,320,396,0,0,7902,9223
"SAMHSA Announces $40 Million in Funding Opportunities to Prevent Addiction, and Address Child Trauma, Suicide, Mental Illness | HHS.gov",/press-room/samhsa-announces-funding-opportunities-prevent-addiction-child-trauma-suicide-mental-illness.html,1899,2186,942,1229,130,143,162,249,0,0,3653,4458
"Secretary Kennedy Highlights Dairy Farmers, Infant Formula Safety, and Addiction Recovery as 'Take Back Your Health' Tour Stops in Wisconsin | HHS.gov",/press-room/secretary-kennedy-wisconsin-tour-dairy-formula-addiction-recovery.html,2292,2401,448,575,82,89,237,286,36,42,3092,3402
WTAS: HHS Unveils Sweeping Plan to Combat Lyme Disease and Advance Treatment | HHS.gov,/press-room/wtas-hhs-unveils-plan-to-combat-lyme-disease.html,2395,2504,353,423,38,43,85,114,40,55,2951,3189
Secretary Kennedy Announces $100 Million Investment in Great American Recovery | HHS.gov,/press-room/secretary-kennedy-announces-100-million-investment-great-american-recovery.html,847,1408,762,1003,142,162,494,628,19,21,2606,3690
