# ----------------------------------------
# HHS.gov - Main - 360 Umbrella
# Press Room Traffic Sources - May 2026-By Channel Group
# 20260501-20260531
# ----------------------------------------

,Session default channel group,Direct,Direct,Organic Search,Organic Search,Referral,Referral,Organic Social,Organic Social,Email,Email,Totals,Totals
Page title,Page path and screen class,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views,Active users,Views
,,70698,645439,70975,122834,11369,25894,11572,13879,3853,4466,166270,813962,Grand total
Press Room | HHS.gov,/press-room/index.html,20971,539109,3844,25348,896,8930,106,882,19,52,25650,574440
HHS Launches MAHA Action Plan to Curb Psychiatric Overprescribing | HHS.gov,/press-room/hhs-launches-maha-action-plan-curb-psychiatric-overprescribing.html,11339,13512,8785,11094,2311,3041,769,888,1619,1815,24642,30528
WTAS: HHS Launches MAHA Action Plan to Curb Psychiatric Overprescribing | HHS.gov,/press-room/wtas-hhs-launches-maha-action-plan-curb-psychiatric-overprescribing.html,2479,2997,9210,11299,307,384,286,322,14,15,12264,15079
Trump Administration Launches Moms.Gov for New and Expecting Mothers | HHS.gov,/press-room/trump-administration-launches-moms-gov-for-new-and-expecting-mothers.html,3793,4580,6513,7680,499,627,548,596,39,49,11415,13587
HHS Unveils Sweeping Plan to Combat Lyme Disease and Advance Treatment | HHS.gov,/press-room/hhs-unveils-plan-to-combat-lyme-disease.html,1697,2213,2404,2951,106,128,3886,4213,3,7,8024,9549
HHS Cracks Down on Years of Unchecked Audit Findings | HHS.gov,/press-room/asfr-aero-audit-enforcement-risk-oversight-initiative.html,5803,7078,1043,1493,668,950,242,285,322,449,8001,10283
HHS’ Office for Civil Rights Extends Web and Mobile Accessibility Compliance Deadline | HHS.gov,/press-room/hhs-extends-mobile-and-web-accessibility-deadline.html,4621,5573,1843,2652,902,1277,189,222,162,194,7837,10136
Fact Sheet: U.S. Withdrawal from the World Health Organization | HHS.gov,/press-room/fact-sheet-us-withdrawal-from-the-world-health-organization.html,779,921,4459,5299,117,176,137,145,0,0,5512,6583
FDA Releases Results from Largest-Ever Testing of Infant Formula in the U.S. | HHS.gov,/press-room/fda-releases-results-largest-ever-testing-infant-formula-us.html,1551,1954,444,575,64,87,2594,2750,0,0,4664,5380
"Fact Sheet: Trump Administration Resets U.S. Nutrition Policy, Puts Real Food Back at the Center of Health | HHS.gov",/press-room/fact-sheet-historic-reset-federal-nutrition-policy.html,785,968,2176,2776,205,272,35,38,0,0,3206,4092
"Secretary Kennedy Takes ‘Take Back Your Health’ Tour to Ohio, Driving Prevention-First Strategy to Make America Healthy Again | HHS.gov",/press-room/secretary-kennedy-takes-take-back-your-health-tour-ohio.html,1195,1404,886,1049,293,343,551,583,0,0,2909,3379
